id,title,genres,averageRating,numVotes,releaseYear
tt10048342,"The Queen's Gambit",Drama,8.5,581846,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,540855,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,499069,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,428363,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357067,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,298872,2018
tt1439629,Community,Comedy,8.5,298643,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298182,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283079,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266071,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261058,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252129,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193054,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,176973,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,171839,2015
tt2575988,"Silicon Valley",Comedy,8.5,169538,2014
tt0487831,"The IT Crowd",Comedy,8.5,167112,2006
tt3526078,"Schitt's Creek",Comedy,8.5,151800,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,147639,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,132979,2020
tt0290978,"The Office","Comedy, Drama",8.5,125306,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104208,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94143,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,90399,1995
tt3502248,Bosch,"Crime, Drama",8.5,85816,2014
tt1492966,Louie,"Comedy, Drama",8.5,82874,2010
tt10638036,Heartstopper,"Drama, Romance",8.5,82152,2022
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81452,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79459,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78159,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,68568,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67038,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,66895,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,66607,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66607,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65191,1972
tt7120662,"Derry Girls",Comedy,8.5,64171,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,61594,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61178,2001
tt0187664,Spaced,Comedy,8.5,58406,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57102,2004
tt2937900,"The Knick","Drama, History",8.5,53333,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,52944,2001
